name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bact-19	16652	G	951	543	1494	0.00042
JAQVOJ01	16655	G	34	2	36	0.00001
CAIVAT01	16567	G	457	13	470	0.00013
CAIRDP01	16566	G	345	63	408	0.00012
QYOJ01	16574	G	29	13	42	0.00001
JAUZOW01	16573	G	18	0	18	0.00001
DZBS01	16597	G	443	57	500	0.00014
JAADGE01	16598	G	331	8	339	0.00010
CAMZKQ01	16594	G	55	0	55	0.00002
JAADJA01	16601	G	807	52	859	0.00024
Porphyromonas	16781	G	616	193	809	0.00023
Porphyromonas_A	16782	G	19	10	29	0.00001
JAAYKF01	16967	G	184	61	245	0.00007
JALNYF01	16974	G	106	45	151	0.00004
WRNX01	16982	G	73	1	74	0.00002
JAIROC01	16971	G	63	0	63	0.00002
F23-D06	16966	G	62	6	68	0.00002
UBA5266	16980	G	61	35	96	0.00003
JAISAD01	16972	G	26	0	26	0.00001
JAEZOU01	16968	G	15	3	18	0.00001
JAGVVH01	16970	G	11	11	22	0.00001
JAIRLS01	16902	G	620	1	621	0.00018
Perlabentimonas	16864	G	297	94	391	0.00011
SB25	16866	G	134	23	157	0.00004
Tenuifilum	16867	G	19	37	56	0.00002
UBA8529	16871	G	18	0	18	0.00001
UBA5206	16870	G	13	0	13	0.00000
BNXB01	16443	G	170	0	170	0.00005
Symbiothrix	16454	G	85	0	85	0.00002
JAIRLY01	16445	G	73	0	73	0.00002
BHEP01	16441	G	32	0	32	0.00001
WRFZ01	16456	G	21	0	21	0.00001
JAJBTS01	16452	G	16	0	16	0.00000
UBA5072	16879	G	218	3	221	0.00006
UBA10428	16878	G	86	3	89	0.00003
JAFGSZ01	16877	G	50	0	50	0.00001
G020354785	16872	G	24	0	24	0.00001
JAFGQQ01	16876	G	21	0	21	0.00001
CG2-30-33-31	16892	G	181	126	307	0.00009
4572-112	16891	G	174	11	185	0.00005
UBA6267	16894	G	12	3	15	0.00000
JAPLDU01	16650	G	358	2	360	0.00010
RUG13583	16837	G	279	48	327	0.00009
GWE2-40-63	16833	G	59	23	82	0.00002
JAUXEM01	16836	G	12	0	12	0.00000
UBA12170	16883	G	244	10	254	0.00007
DYSN01	16882	G	75	40	115	0.00003
RGIG7150	16464	G	269	13	282	0.00008
BM520	16463	G	21	1	22	0.00001
SKVR01	16921	G	162	37	199	0.00006
PUPG01	16914	G	81	28	109	0.00003
PUKZ01	16912	G	11	1	12	0.00000
GCA-2748055	16579	G	114	2	116	0.00003
M55B112	16584	G	96	0	96	0.00003
JACJXF01	16580	G	31	0	31	0.00001
JAUUZQ01	16583	G	10	0	10	0.00000
GWE2-42-24	16841	G	104	0	104	0.00003
JAJTBW01	16842	G	74	16	90	0.00003
DTU049	16527	G	116	15	131	0.00004
GWF2-43-63	16528	G	56	18	74	0.00002
UBA12077	16881	G	173	24	197	0.00006
Coprobacter	16521	G	169	101	270	0.00008
JAIPAH01	16631	G	168	11	179	0.00005
GCA-2711565	16578	G	165	14	179	0.00005
Lentimicrobium	16647	G	160	22	182	0.00005
PXBB01	16747	G	148	42	190	0.00005
S143-33	16827	G	145	0	145	0.00004
RZYY01	16436	G	111	88	199	0.00006
SABY01	16437	G	18	1	19	0.00001
PUMT01	16742	G	109	104	213	0.00006
PXAP01	16743	G	14	4	18	0.00001
M55B132	16459	G	98	2	100	0.00003
AUK083	16439	G	98	23	121	0.00003
UBA3663	16900	G	93	4	97	0.00003
JAOZQN01	16639	G	72	3	75	0.00002
NBLH01	16723	G	70	29	99	0.00003
JADFUO01	16610	G	62	5	67	0.00002
Barnesiella_A	16507	G	32	3	35	0.00001
Barnesiella	16506	G	12	21	33	0.00001
Barnesiella_B	16508	G	10	11	21	0.00001
DYMG01	16614	G	41	3	44	0.00001
UBA4417	16905	G	52	14	66	0.00002
Caccoplasma	16880	G	52	12	64	0.00002
JANXXY01	16604	G	41	3	44	0.00001
UBA3824	16901	G	48	7	55	0.00002
CAINEZ01	16516	G	34	5	39	0.00001
JAGOPY01	16623	G	41	0	41	0.00001
Caccoplasma_A	16577	G	42	3	45	0.00001
UBA6680	16910	G	41	0	41	0.00001
JAOZVK01	16641	G	37	1	38	0.00001
Bacteroides_D	16515	G	35	0	35	0.00001
GWA2-31-9	16590	G	33	1	34	0.00001
JAGXLC01	16624	G	33	0	33	0.00001
B39-G9	16460	G	15	3	18	0.00001
UBA12481	16887	G	18	3	21	0.00001
JACABE01	16609	G	24	1	25	0.00001
JAAYQU01	16839	G	12	0	12	0.00000
Salinivirga	16840	G	12	0	12	0.00000
JAUNSR01	16645	G	23	0	23	0.00001
JAGNHN01	16617	G	22	1	23	0.00001
JAIORY01	16629	G	21	1	22	0.00001
SM23-62	16830	G	14	0	14	0.00000
CAIXZF01	16513	G	10	12	22	0.00001
CAIWKO01	16510	G	14	3	17	0.00000
JAQUTK01	16642	G	12	1	13	0.00000
Chitinophaga	17024	G	3399	99	3498	0.00099
Sediminibacterium	17090	G	2913	931	3844	0.00109
Ferruginibacter	17031	G	2890	605	3495	0.00099
JAGNRR01	17059	G	2036	285	2321	0.00066
Flavipsychrobacter	17035	G	1238	788	2026	0.00057
Hanamia	17041	G	1183	70	1253	0.00036
Edaphocola	17029	G	881	3605	4486	0.00127
Arachidicoccus	17014	G	746	57	803	0.00023
JJ008	17069	G	724	137	861	0.00024
Puia	17086	G	704	44	748	0.00021
AWTP1-9	17012	G	677	145	822	0.00023
Flavitalea	17038	G	564	314	878	0.00025
VBAS01	17103	G	531	681	1212	0.00034
Lacibacter	17070	G	495	11	506	0.00014
Flavihumibacter	17034	G	339	122	461	0.00013
JAAFHG01	17045	G	321	69	390	0.00011
Haoranjiania	17042	G	270	136	406	0.00012
VBAT01	17104	G	253	18	271	0.00008
Limnovirga	17071	G	250	46	296	0.00008
Niabella	17073	G	234	68	302	0.00009
UBA1312	17097	G	222	113	335	0.00010
Parasegetibacter	17082	G	182	0	182	0.00005
SXYR01	17089	G	167	22	189	0.00005
UBA1930	17098	G	167	88	255	0.00007
Agriterribacter	17013	G	151	259	410	0.00012
OLB11	17075	G	137	27	164	0.00005
Pseudobacter	17085	G	116	5	121	0.00003
JADGPY01	17049	G	113	8	121	0.00003
Foetidibacter	17039	G	106	16	122	0.00003
JADCRZ01	17048	G	103	0	103	0.00003
JAFDXJ01	17055	G	93	144	237	0.00007
Ilyomonas	17044	G	89	2	91	0.00003
Segetibacter	17091	G	85	11	96	0.00003
JAGWUV01	17060	G	83	3	86	0.00002
JAFAEM01	17053	G	78	9	87	0.00002
Paraflavitalea	17081	G	70	3	73	0.00002
Terrimonas_A	17094	G	69	12	81	0.00002
Flavisolibacter	17036	G	64	38	102	0.00003
JANWKA01	17066	G	63	0	63	0.00002
Niastella	17074	G	60	1	61	0.00002
CAIQDX01	17016	G	54	53	107	0.00003
CAILAF01	17015	G	49	75	124	0.00004
CAIWHF01	17019	G	46	41	87	0.00002
UBA1952	17099	G	36	6	42	0.00001
JAFAEW01	17054	G	31	1	32	0.00001
Thermoflavifilum	17095	G	28	1	29	0.00001
Parafilimonas	17079	G	25	8	33	0.00001
UBA3961	17100	G	24	19	43	0.00001
CANFLJ01	17022	G	22	1	23	0.00001
MGR-bin208	17072	G	20	6	26	0.00001
Cnuella	17025	G	19	1	20	0.00001
JAKAJX01	17064	G	19	10	29	0.00001
JABDFW01	17046	G	19	0	19	0.00001
Phnomibacter	17083	G	17	1	18	0.00001
UBA10646	17096	G	17	2	19	0.00001
Filimonas	17032	G	14	1	15	0.00000
PMP191F	17076	G	13	39	52	0.00001
JAFDYH01	17056	G	11	9	20	0.00001
QFOI01	17087	G	10	5	15	0.00000
CALFUK01	17147	G	1049	146	1195	0.00034
Vicinibacter	17250	G	899	291	1190	0.00034
RFSX01	17241	G	783	271	1054	0.00030
M3007	17232	G	667	93	760	0.00022
Neolewinella	17234	G	618	0	618	0.00018
UBA1994	17245	G	544	52	596	0.00017
CAJXUU01	17138	G	509	328	837	0.00024
JACJXW01	17174	G	505	102	607	0.00017
JAHDCZ01	17200	G	452	4	456	0.00013
JADKBO01	17184	G	356	88	444	0.00013
JAHDHH01	17209	G	331	66	397	0.00011
JAGNXB01	17188	G	321	34	355	0.00010
JAHDHB01	17207	G	295	11	306	0.00009
JAFMDF01	17187	G	284	4	288	0.00008
JAAUTG01	17167	G	276	4	280	0.00008
AM-2324	17130	G	265	1	266	0.00008
PWJY01	17237	G	228	52	280	0.00008
JAHDHF01	17208	G	213	18	231	0.00007
BJGN01	17134	G	210	106	316	0.00009
JALZUU01	17224	G	202	3	205	0.00006
JADJGA01	17178	G	193	6	199	0.00006
Parvibacillus	17238	G	190	72	262	0.00007
Opimibacter	17236	G	166	11	177	0.00005
CAJQQY01	17137	G	159	2	161	0.00005
JAHDCE01	17196	G	156	1	157	0.00004
JAHDBF01	17193	G	156	0	156	0.00004
CALIAG01	17151	G	144	12	156	0.00004
UBA6168	17248	G	136	3	139	0.00004
OLB9	17235	G	121	20	141	0.00004
JAHDDO01	17201	G	114	5	119	0.00003
JANQRV01	17227	G	99	0	99	0.00003
JALZVN01	17225	G	86	1	87	0.00002
JAHDBJ01	17195	G	81	0	81	0.00002
JAHDGW01	17206	G	73	1	74	0.00002
WGBN01	17252	G	73	14	87	0.00002
CAKZLL01	17139	G	70	11	81	0.00002
Aureispira	17131	G	69	6	75	0.00002
JAHDHU01	17210	G	64	18	82	0.00002
HDS-20	17160	G	62	14	76	0.00002
CALCMJ01	17142	G	60	0	60	0.00002
CALMIR01	17153	G	60	0	60	0.00002
Haliscomenobacter	17161	G	58	5	63	0.00002
JABDLO01	17169	G	57	1	58	0.00002
JAHEJC01	17213	G	56	2	58	0.00002
CALLVY01	17152	G	55	0	55	0.00002
JADJVK01	17183	G	51	1	52	0.00001
JAHDCK01	17199	G	51	0	51	0.00001
CALFUQ01	17148	G	49	0	49	0.00001
JAAFJT01	17166	G	48	2	50	0.00001
WFYJ01	17251	G	47	0	47	0.00001
JABDMH01	17170	G	43	7	50	0.00001
JANSWP01	17229	G	42	1	43	0.00001
Phaeodactylibacter	17239	G	40	50	90	0.00003
JAHDBH01	17194	G	39	1	40	0.00001
Membranihabitans	17233	G	34	16	50	0.00001
JAHDES01	17203	G	32	0	32	0.00001
JAGQWW01	17190	G	30	1	31	0.00001
CALGLS01	17149	G	29	7	36	0.00001
JAJRXG01	17217	G	28	0	28	0.00001
JABWBR01	17172	G	27	0	27	0.00001
JACJYM01	17177	G	25	7	32	0.00001
Lewinella	17231	G	24	2	26	0.00001
JAAEZH01	17164	G	24	0	24	0.00001
CALDGQ01	17144	G	22	0	22	0.00001
JAKVCT01	17219	G	19	9	28	0.00001
GYS-P2D	17159	G	18	0	18	0.00001
JAGOHC01	17189	G	17	9	26	0.00001
DT-111	17157	G	15	3	18	0.00001
JAHDEO01	17202	G	14	0	14	0.00000
HyVt-613	17162	G	13	0	13	0.00000
JAHDHW01	17211	G	11	0	11	0.00000
Bog-950	17120	G	2778	631	3409	0.00097
JAEUUZ01	17122	G	102	9	111	0.00003
UBA1941	17123	G	11	0	11	0.00000
JADJSS01	17109	G	1375	375	1750	0.00050
JAMLHH01	17111	G	899	644	1543	0.00044
UBA7236	17004	G	1063	227	1290	0.00037
WGOA01	17005	G	55	0	55	0.00002
JAHDHT01	17116	G	478	5	483	0.00014
CALHDG01	17115	G	178	0	178	0.00005
JAHDDA01	17268	G	203	0	203	0.00006
JAHDHP01	17274	G	127	0	127	0.00004
UBA2359	17277	G	34	0	34	0.00001
JAEUUX01	17265	G	20	0	20	0.00001
JAHDFT01	17271	G	17	0	17	0.00000
JAUHXA01	17276	G	11	1	12	0.00000
CAIODY01	17006	G	217	108	325	0.00009
JAUHXS01	17119	G	81	4	85	0.00002
CHPMRC01	17112	G	28	3	31	0.00001
JALOMB01	17114	G	25	11	36	0.00001
CAJXBJ01	17010	G	45	16	61	0.00002
JACCZZ01	17254	G	32	0	32	0.00001
UBA10324	17259	G	12	0	12	0.00000
UBA8649	17281	G	35	0	35	0.00001
CAMDFR01	17011	G	18	0	18	0.00001
CAIOSU01	17009	G	10	0	10	0.00000
Algoriphagus	17293	G	2033	172	2205	0.00063
ELB16-189	17310	G	1598	873	2471	0.00070
Marinoscillum	17350	G	1570	804	2374	0.00067
JANSWY01	17337	G	1317	43	1360	0.00039
UBA4465	17370	G	853	11	864	0.00025
Roseivirga	17363	G	623	582	1205	0.00034
Catalinimonas	17301	G	474	199	673	0.00019
Ohtaekwangia	17356	G	467	29	496	0.00014
Ekhidna	17312	G	444	0	444	0.00013
JAJCYL01	17327	G	413	13	426	0.00012
Lunatimonas	17346	G	281	77	358	0.00010
JAEUUG01	17319	G	255	521	776	0.00022
JAAUQL01	17317	G	184	34	218	0.00006
CAJXNP01	17298	G	170	2	172	0.00005
Echinicola	17311	G	141	148	289	0.00008
JAGTVG01	17323	G	96	0	96	0.00003
Pararhodonellum	17357	G	80	17	97	0.00003
Fulvivirga	17313	G	68	45	113	0.00003
Nitritalea	17355	G	66	22	88	0.00002
Cesiribacter	17303	G	62	3	65	0.00002
JAHEMU01	17325	G	50	0	50	0.00001
Cyclobacterium	17308	G	49	4	53	0.00002
UBA2336	17369	G	46	30	76	0.00002
Chryseotalea	17306	G	45	52	97	0.00003
Litoribacter	17345	G	45	11	56	0.00002
JAPUIM01	17341	G	45	0	45	0.00001
CAMPJM01	17299	G	41	2	43	0.00001
Reichenbachiella	17361	G	40	1	41	0.00001
JAKISE01	17330	G	36	80	116	0.00003
Cecembia	17302	G	32	83	115	0.00003
Chryseolinea	17304	G	24	0	24	0.00001
Mangrovivirga	17348	G	24	0	24	0.00001
Tunicatimonas	17367	G	24	1	25	0.00001
Marivirga	17351	G	20	15	35	0.00001
JAOUKH01	17338	G	19	0	19	0.00001
JANQEU01	17335	G	18	0	18	0.00001
Indibacter	17315	G	17	91	108	0.00003
Persicobacter	17359	G	16	0	16	0.00000
JAUILA01	17343	G	16	1	17	0.00000
SZUA-3	17366	G	15	0	15	0.00000
JAAEPI01	17316	G	13	3	16	0.00000
Penaeicola	17358	G	13	9	22	0.00001
Mongoliibacter	17352	G	12	1	13	0.00000
Aquiflexum	17295	G	11	9	20	0.00001
Pleomorphovibrio	17360	G	10	1	11	0.00000
Dyadobacter	17429	G	1876	44	1920	0.00054
Spirosoma	17454	G	1347	8	1355	0.00038
Emticicia	17430	G	834	92	926	0.00026
JAGNSI01	17436	G	805	281	1086	0.00031
Aquirufa	17423	G	523	33	556	0.00016
Flectobacillus	17433	G	401	18	419	0.00012
Runella	17450	G	376	49	425	0.00012
Siphonobacter	17453	G	361	3	364	0.00010
Allopseudarcicella	17422	G	163	27	190	0.00005
Arsenicibacter	17426	G	94	0	94	0.00003
JALRIJ01	17440	G	50	2	52	0.00001
Leadbetterella	17444	G	49	18	67	0.00002
Arcicella	17424	G	45	0	45	0.00001
Jiulongibacter	17442	G	43	2	45	0.00001
Rudanella	17449	G	40	0	40	0.00001
Fibrisoma	17432	G	25	0	25	0.00001
Larkinella	17443	G	13	0	13	0.00000
Hymenobacter	17400	G	1576	24	1600	0.00045
Pontibacter	17403	G	402	6	408	0.00012
Adhaeribacter	17398	G	320	17	337	0.00010
Rufibacter	17404	G	143	2	145	0.00004
Solirubrum	17405	G	21	0	21	0.00001
Microscilla	17417	G	1880	88	1968	0.00056
JAAUUB01	17414	G	158	10	168	0.00005
JAAFIN01	17413	G	68	4	72	0.00002
RDXZ01	17419	G	18	8	26	0.00001
JALONJ01	17415	G	11	8	19	0.00001
Flammeovirga	17387	G	1118	149	1267	0.00036
Chondrinema	17386	G	190	45	235	0.00007
Flexithrix	17388	G	66	0	66	0.00002
UBA2561	17464	G	232	7	239	0.00007
JAAFHK01	17458	G	110	88	198	0.00006
Thermoflexibacter	17463	G	61	10	71	0.00002
Flexibacter	17396	G	354	7	361	0.00010
CAMDMI01	17392	G	44	0	44	0.00001
Rhodocytophaga	17284	G	359	2	361	0.00010
JALOMD01	17283	G	12	0	12	0.00000
Raineya	17467	G	195	19	214	0.00006
CALEMF01	17465	G	22	1	23	0.00001
JANYGM01	17466	G	15	0	15	0.00000
Sporocytophaga	17384	G	57	1	58	0.00002
Cytophaga	17375	G	48	9	57	0.00002
JANWYS01	17380	G	29	2	31	0.00001
JACMQM01	17377	G	19	1	20	0.00001
JAUIFR01	17410	G	147	98	245	0.00007
UBA9547	17473	G	80	1	81	0.00002
REAG01	17472	G	60	173	233	0.00007
Bernardetia	17285	G	77	2	79	0.00002
JAFIER01	17287	G	17	0	17	0.00000
Pedobacter	18088	G	5062	265	5327	0.00151
Mucilaginibacter	18083	G	2766	166	2932	0.00083
Sphingobacterium	18093	G	1778	948	2726	0.00077
Pedobacter_A	18089	G	1671	45	1716	0.00049
Solitalea	18092	G	1207	36	1243	0.00035
Daejeonella	18077	G	530	13	543	0.00015
Pedobacter_B	18090	G	479	7	486	0.00014
Olivibacter	18085	G	153	197	350	0.00010
CAIKLP01	18072	G	71	70	141	0.00004
Pelobium	18091	G	62	22	84	0.00002
Arcticibacter	18070	G	58	1	59	0.00002
Albibacterium	18068	G	29	5	34	0.00001
JAQSWM01	18082	G	22	0	22	0.00001
Anseongella	18069	G	15	0	15	0.00000
UBA955	18043	G	1594	525	2119	0.00060
JALOAG01	18038	G	945	608	1553	0.00044
VMCP01	18044	G	668	484	1152	0.00033
JABMMZ01	18033	G	233	141	374	0.00011
REEB481	18040	G	214	0	214	0.00006
RGEC01	18041	G	30	4	34	0.00001
JABWCE01	18022	G	418	114	532	0.00015
UBA987	18028	G	151	1	152	0.00004
UBA9320	18027	G	121	71	192	0.00005
WGNA01	18030	G	14	0	14	0.00000
JAHEKB01	18024	G	12	2	14	0.00000
B1	18045	G	301	192	493	0.00014
JAGPCK01	18050	G	256	13	269	0.00008
CAISCU01	18046	G	49	2	51	0.00001
JAAFJM01	18049	G	30	11	41	0.00001
UBA6183	18053	G	28	26	54	0.00002
CAIUEQ01	18047	G	12	4	16	0.00000
RGVD01	18052	G	10	2	12	0.00000
CANJUD01	18016	G	24	4	28	0.00001
UBA8524	18020	G	14	1	15	0.00000
JADKJB01	16412	G	2812	168	2980	0.00085
OLB10	16419	G	919	540	1459	0.00041
JAJTFW01	16416	G	167	20	187	0.00005
CAINEC01	16408	G	75	8	83	0.00002
JADKFV01	16411	G	13	1	14	0.00000
CAINVI01	16394	G	505	103	608	0.00017
JAPLDB01	16399	G	188	0	188	0.00005
PALSA-967	16400	G	113	0	113	0.00003
JADKIH01	16395	G	67	26	93	0.00003
2-12-FULL-35-15	16391	G	2777	688	3465	0.00098
UBA2475	16429	G	1383	629	2012	0.00057
UBA4416	16430	G	552	619	1171	0.00033
JADJDM01	16422	G	534	146	680	0.00019
PALSA-968	16427	G	50	24	74	0.00002
JAHEYG01	16425	G	28	1	29	0.00001
UBA4408	18100	G	950	386	1336	0.00038
CAIKXD01	18097	G	55	15	70	0.00002
CAIMMJ01	18099	G	38	15	53	0.00002
CAMEYY01	18002	G	480	950	1430	0.00041
CALKJP01	17992	G	380	89	469	0.00013
JACCXN01	17994	G	12	0	12	0.00000
CAIKAF01	16988	G	345	8	353	0.00010
JANWKQ01	16991	G	21	0	21	0.00001
MED-G16	17485	G	213	44	257	0.00007
JABINZ01	16997	G	118	64	182	0.00005
CAILMK01	16993	G	14	11	25	0.00001
JABDEJ01	16994	G	11	0	11	0.00000
JAGQWA01	16999	G	13	15	28	0.00001
JACJYV01	17982	G	73	1	74	0.00002
JAAFHL01	17975	G	14	1	15	0.00000
GCA-2737665	18056	G	88	11	99	0.00003
JAAGZN01	17478	G	77	14	91	0.00003
SpSt-205	18066	G	67	0	67	0.00002
M30B66	18013	G	53	3	56	0.00002
JAFLBG01	17999	G	60	24	84	0.00002
Blattabacterium	17963	G	37	3	40	0.00001
JANWVE01	18006	G	53	12	65	0.00002
CAMBQF01	17000	G	44	1	45	0.00001
SYHX01	18105	G	26	0	26	0.00001
Palsa-948	18055	G	34	1	35	0.00001
JABEUT01	18059	G	22	39	61	0.00002
JABDFU01	17990	G	21	0	21	0.00001
SXHM01	18060	G	20	0	20	0.00001
UBA10329	18096	G	20	7	27	0.00001
FEN-1297	18127	G	1386	709	2095	0.00059
BMS3ABIN03	18122	G	762	59	821	0.00023
XYD12-FULL-36-8	18154	G	455	22	477	0.00014
GCA-002790365	18129	G	392	98	490	0.00014
UBA1563	18150	G	333	27	360	0.00010
IGN3	18133	G	295	38	333	0.00009
JAKAGZ01	18145	G	270	6	276	0.00008
IGN2	18132	G	233	31	264	0.00007
Ignavibacterium	18134	G	173	62	235	0.00007
CAJXGP01	18124	G	164	202	366	0.00010
JAGXRK01	18144	G	148	38	186	0.00005
RBG-16-34-14	18148	G	106	1	107	0.00003
UBA1304	18149	G	32	0	32	0.00001
CG2-30-36-16	18126	G	22	0	22	0.00001
JAEXTR01	18141	G	20	0	20	0.00001
Fen-1301	18128	G	17	9	26	0.00001
GCA-016700155	18130	G	16	0	16	0.00000
JAGUXE01	18142	G	15	7	22	0.00001
WJMR01	18153	G	12	0	12	0.00000
UTCHB3	18152	G	11	3	14	0.00000
H2-BAC3	18131	G	10	0	10	0.00000
DSXH01	18160	G	773	96	869	0.00025
SZUA-22	18190	G	767	38	805	0.00023
JAEXOD01	18173	G	400	7	407	0.00012
JAADIR01	18168	G	355	0	355	0.00010
XYB12-FULL-38-5	18194	G	354	150	504	0.00014
JAENZU01	18171	G	295	0	295	0.00008
JAIOZI01	18182	G	159	1	160	0.00005
DYHW01	18161	G	155	10	165	0.00005
JALSNL01	18184	G	119	22	141	0.00004
GCA-2746605	18166	G	100	20	120	0.00003
Fen-1258	18164	G	85	6	91	0.00003
JAEINS01	18170	G	73	93	166	0.00005
BMS3ABIN04	18156	G	62	6	68	0.00002
PGYT01	18188	G	51	2	53	0.00002
JAHJTX01	18179	G	41	2	43	0.00001
JAIOYW01	18181	G	37	20	57	0.00002
JAHISV01	18178	G	37	0	37	0.00001
1-14-2-50-31-20	18155	G	35	3	38	0.00001
WGAL01	18193	G	28	6	34	0.00001
JAPLFH01	18196	G	375	25	400	0.00011
JAGPCH01	18210	G	256	191	447	0.00013
CAIKZJ01	18200	G	117	1	118	0.00003
JADJAH01	18206	G	27	0	27	0.00001
UBA2330	18213	G	20	0	20	0.00001
JAPLFI01	18211	G	12	0	12	0.00000
JAKEEM01	18216	G	98	1	99	0.00003
OLB5	18218	G	34	1	35	0.00001
RPQH01	18219	G	11	0	11	0.00000
Ch128b	18118	G	124	12	136	0.00004
CAKZPH01	18117	G	17	2	19	0.00001
SKNL01	18318	G	1349	248	1597	0.00045
SLHZ01	18319	G	93	0	93	0.00003
Natronogracilivirga	18316	G	15	4	19	0.00001
JAUICM01	18291	G	328	13	341	0.00010
Halalkalibaculum	18290	G	245	0	245	0.00007
Fodinibius	18287	G	180	2	182	0.00005
SW132	18301	G	172	43	215	0.00006
Gracilimonas	18288	G	70	10	80	0.00002
UBA1275	18303	G	56	5	61	0.00002
Sam29DG08-bin30	18302	G	43	1	44	0.00001
Balneola	18284	G	43	9	52	0.00001
HXMU1420-13	18289	G	37	0	37	0.00001
UBA8296	18305	G	32	3	35	0.00001
Rhodohalobacter	18295	G	22	1	23	0.00001
Cyclonatronum	18306	G	198	16	214	0.00006
RECM01	18309	G	80	0	80	0.00002
UBA11400	18313	G	138	75	213	0.00006
CALBJU01	18360	G	585	401	986	0.00028
1-14-0-65-60-17	18359	G	192	0	192	0.00005
SMXL01	18367	G	38	0	38	0.00001
JAAZVD01	18361	G	33	1	34	0.00001
JABDKO01	18337	G	184	0	184	0.00005
Salinibacter	18356	G	95	1	96	0.00003
UBA2364	18369	G	25	1	26	0.00001
Bin80	18326	G	20	0	20	0.00001
JAUQWR01	18255	G	637	13	650	0.00018
JAKIZO01	18249	G	223	6	229	0.00006
JAJRPT01	18246	G	156	100	256	0.00007
GWF2-33-9	18242	G	128	205	333	0.00009
JANJTB01	18250	G	122	333	455	0.00013
Naka2016	18256	G	60	1	61	0.00002
XYC2-FULL-35-21	18261	G	45	9	54	0.00002
CALHRB01	18238	G	43	23	66	0.00002
CAIWET01	18236	G	32	0	32	0.00001
UBA2268	18259	G	30	4	34	0.00001
JAAYTD01	18244	G	16	5	21	0.00001
JAERMQ01	18245	G	15	0	15	0.00000
UBA961	18271	G	713	36	749	0.00021
UBA2353	18270	G	57	16	73	0.00002
JADJXV01	18268	G	10	0	10	0.00000
UBA10438	18228	G	332	1	333	0.00009
PH2015	18263	G	62	0	62	0.00002
JAIBAE01	18232	G	38	4	42	0.00001
UBA7675	18234	G	22	0	22	0.00001
GCA-016700335	18273	G	34	10	44	0.00001
OLB7	18276	G	31	7	38	0.00001
PALSA-1296	18281	G	13	0	13	0.00000
UBA8401	18439	G	288	27	315	0.00009
SXSI01	18437	G	133	4	137	0.00004
CAISDA01	18430	G	128	23	151	0.00004
CALETH01	18431	G	73	17	90	0.00003
FW602-bin19	18387	G	563	0	563	0.00016
PNNN01	18395	G	29	2	31	0.00001
Fen-1298	18401	G	333	11	344	0.00010
JACPLA01	18402	G	35	0	35	0.00001
JADGQA01	18407	G	12	0	12	0.00000
DYFT01	18399	G	10	0	10	0.00000
Fen-1273	18420	G	93	1	94	0.00003
JASEGV01	18383	G	33	0	33	0.00001
F1-140-MAGs086	18384	G	21	0	21	0.00001
Chlorobium	18108	G	958	165	1123	0.00032
Chlorobium_A	18109	G	89	2	91	0.00003
Prosthecochloris	18110	G	20	5	25	0.00001
Chlorobaculum	18107	G	12	0	12	0.00000
JANWWM01	18115	G	122	53	175	0.00005
JANQGG01	18112	G	78	9	87	0.00002
JAFLBE01	18221	G	480	88	568	0.00016
Kryptonium	18283	G	25	2	27	0.00001
BM516	18373	G	29	0	29	0.00001
T3Sed10-11	18380	G	23	2	25	0.00001
Lactobacillus	13009	G	3189	1981	5170	0.00147
Furfurilactobacillus	13004	G	993	159	1152	0.00033
Limosilactobacillus	13017	G	728	176	904	0.00026
Weissella	13030	G	711	26	737	0.00021
Periweissella	13026	G	563	18	581	0.00016
Levilactobacillus	13015	G	546	96	642	0.00018
Bombilactobacillus	12996	G	454	33	487	0.00014
Leuconostoc	13013	G	448	63	511	0.00015
Loigolactobacillus	13019	G	435	122	557	0.00016
Companilactobacillus	12998	G	387	70	457	0.00013
Apilactobacillus	12994	G	362	28	390	0.00011
Ligilactobacillus	13016	G	340	139	479	0.00014
Lentilactobacillus	13012	G	290	108	398	0.00011
Fructobacillus	13003	G	253	4	257	0.00007
Paucilactobacillus	13024	G	251	134	385	0.00011
Lactiplantibacillus	13008	G	249	161	410	0.00012
Pediococcus	13025	G	170	51	221	0.00006
Fructilactobacillus	13002	G	156	16	172	0.00005
Agrilactobacillus	12992	G	89	3	92	0.00003
Lacticaseibacillus	13007	G	89	6	95	0.00003
Liquorilactobacillus	13018	G	60	9	69	0.00002
Secundilactobacillus	13029	G	47	6	53	0.00002
Latilactobacillus	13011	G	43	19	62	0.00002
Holzapfeliella	13006	G	26	1	27	0.00001
Lapidilactobacillus	13010	G	26	20	46	0.00001
Convivina	12999	G	19	0	19	0.00001
Oenococcus	13021	G	13	0	13	0.00000
Gallilactobacillus	13005	G	12	2	14	0.00000
Streptococcus	13044	G	4976	4897	9873	0.00280
Lactococcus	13039	G	1602	1852	3454	0.00098
Lactococcus_A	13040	G	927	1173	2100	0.00060
Pilibacter	13043	G	149	0	149	0.00004
Floricoccus	13034	G	35	7	42	0.00001
MMGLQ5-1	13042	G	26	5	31	0.00001
JAIRLR01	13035	G	18	0	18	0.00001
JAITWV01	13038	G	16	0	16	0.00000
Lactovum	13041	G	12	0	12	0.00000
Enterococcus	12976	G	1714	189	1903	0.00054
